"","V1"
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",3
"GeorgeWashington-1",3
"GeorgeWashington-1",3
"GeorgeWashington-1",4
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",3
"GeorgeWashington-1",3
"GeorgeWashington-1",8
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-1",4
"GeorgeWashington-1",4
"GeorgeWashington-1",5
"GeorgeWashington-1",8
"GeorgeWashington-1",5
"GeorgeWashington-1",3
"GeorgeWashington-1",8
"GeorgeWashington-1",3
"GeorgeWashington-1",8
"GeorgeWashington-1",3
"GeorgeWashington-1",2
"GeorgeWashington-1",2
"GeorgeWashington-2",3
"GeorgeWashington-2",3
"JohnAdams-1",2
"JohnAdams-1",4
"JohnAdams-1",2
"JohnAdams-1",1
"JohnAdams-1",1
"JohnAdams-1",1
"JohnAdams-1",2
"JohnAdams-1",5
"JohnAdams-1",2
"JohnAdams-1",5
"JohnAdams-1",5
"JohnAdams-1",3
"JohnAdams-1",3
"JohnAdams-1",8
"JohnAdams-1",8
"JohnAdams-1",2
"JohnAdams-1",2
"JohnAdams-1",5
"JohnAdams-1",8
"JohnAdams-1",4
"JohnAdams-1",2
"JohnAdams-1",2
"JohnAdams-1",5
"JohnAdams-1",6
"JohnAdams-1",6
"JohnAdams-1",8
"JohnAdams-1",6
"JohnAdams-1",6
"JohnAdams-1",6
"JohnAdams-1",2
"JohnAdams-1",2
"JohnAdams-1",2
"JohnAdams-1",7
"JohnAdams-1",6
"JohnAdams-1",3
"JohnAdams-1",3
"JohnAdams-1",5
"JohnAdams-1",5
"JohnAdams-1",5
"JohnAdams-1",2
"JohnAdams-1",2
"JohnAdams-1",2
"JohnAdams-1",1
"JohnAdams-1",6
"JohnAdams-1",6
"JohnAdams-1",6
"JohnAdams-1",3
"JohnAdams-1",3
"JohnAdams-1",6
"JohnAdams-1",6
"JohnAdams-1",3
"JohnAdams-1",3
"JohnAdams-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",7
"ThomasJefferson-1",8
"ThomasJefferson-1",4
"ThomasJefferson-1",4
"ThomasJefferson-1",4
"ThomasJefferson-1",4
"ThomasJefferson-1",10
"ThomasJefferson-1",10
"ThomasJefferson-1",5
"ThomasJefferson-1",8
"ThomasJefferson-1",5
"ThomasJefferson-1",5
"ThomasJefferson-1",2
"ThomasJefferson-1",2
"ThomasJefferson-1",2
"ThomasJefferson-1",4
"ThomasJefferson-1",4
"ThomasJefferson-1",4
"ThomasJefferson-1",5
"ThomasJefferson-1",9
"ThomasJefferson-1",5
"ThomasJefferson-1",5
"ThomasJefferson-1",5
"ThomasJefferson-1",10
"ThomasJefferson-1",3
"ThomasJefferson-1",2
"ThomasJefferson-1",2
"ThomasJefferson-1",2
"ThomasJefferson-1",4
"ThomasJefferson-1",1
"ThomasJefferson-1",3
"ThomasJefferson-1",5
"ThomasJefferson-1",4
"ThomasJefferson-1",4
"ThomasJefferson-1",5
"ThomasJefferson-1",5
"ThomasJefferson-1",5
"ThomasJefferson-1",8
"ThomasJefferson-1",1
"ThomasJefferson-1",1
"ThomasJefferson-1",1
"ThomasJefferson-1",1
"ThomasJefferson-1",1
"ThomasJefferson-1",1
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",10
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",2
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-1",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",6
"ThomasJefferson-2",6
"ThomasJefferson-2",6
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",5
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",1
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",9
"ThomasJefferson-2",4
"ThomasJefferson-2",4
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",8
"ThomasJefferson-2",4
"ThomasJefferson-2",8
"ThomasJefferson-2",8
"ThomasJefferson-2",8
"ThomasJefferson-2",3
"ThomasJefferson-2",7
"ThomasJefferson-2",4
"ThomasJefferson-2",4
"ThomasJefferson-2",4
"ThomasJefferson-2",2
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"ThomasJefferson-2",2
"ThomasJefferson-2",2
"ThomasJefferson-2",3
"ThomasJefferson-2",3
"JamesMadison-1",3
"JamesMadison-1",2
"JamesMadison-1",2
"JamesMadison-1",2
"JamesMadison-1",1
"JamesMadison-1",1
"JamesMadison-1",1
"JamesMadison-1",6
"JamesMadison-1",6
"JamesMadison-1",6
"JamesMadison-1",1
"JamesMadison-1",2
"JamesMadison-1",3
"JamesMadison-1",3
"JamesMadison-1",3
"JamesMadison-1",6
"JamesMadison-1",6
"JamesMadison-1",6
"JamesMadison-1",2
"JamesMadison-1",2
"JamesMadison-1",2
"JamesMadison-1",5
"JamesMadison-1",4
"JamesMadison-1",4
"JamesMadison-1",4
"JamesMadison-1",4
"JamesMadison-1",1
"JamesMadison-1",1
"JamesMadison-1",1
"JamesMadison-1",3
"JamesMadison-1",3
"JamesMadison-1",6
"JamesMadison-1",3
"JamesMadison-1",3
"JamesMadison-1",3
"JamesMadison-2",3
"JamesMadison-2",3
"JamesMadison-2",3
"JamesMadison-2",2
"JamesMadison-2",8
"JamesMadison-2",5
"JamesMadison-2",4
"JamesMadison-2",4
"JamesMadison-2",4
"JamesMadison-2",4
"JamesMadison-2",2
"JamesMadison-2",6
"JamesMadison-2",6
"JamesMadison-2",3
"JamesMadison-2",4
"JamesMadison-2",5
"JamesMadison-2",4
"JamesMadison-2",7
"JamesMadison-2",7
"JamesMadison-2",7
"JamesMadison-2",7
"JamesMadison-2",2
"JamesMadison-2",6
"JamesMadison-2",6
"JamesMadison-2",6
"JamesMadison-2",6
"JamesMadison-2",6
"JamesMadison-2",6
"JamesMadison-2",1
"JamesMadison-2",4
"JamesMadison-2",1
"JamesMadison-2",1
"JamesMadison-2",1
"JamesMadison-2",1
"JamesMadison-2",2
"JamesMadison-2",2
"JamesMadison-2",1
"JamesMonroe-1",3
"JamesMonroe-1",3
"JamesMonroe-1",3
"JamesMonroe-1",3
"JamesMonroe-1",3
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",5
"JamesMonroe-1",2
"JamesMonroe-1",5
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",5
"JamesMonroe-1",5
"JamesMonroe-1",5
"JamesMonroe-1",5
"JamesMonroe-1",5
"JamesMonroe-1",4
"JamesMonroe-1",4
"JamesMonroe-1",4
"JamesMonroe-1",4
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",5
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",3
"JamesMonroe-1",4
"JamesMonroe-1",4
"JamesMonroe-1",4
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",2
"JamesMonroe-1",1
"JamesMonroe-1",2
"JamesMonroe-1",1
"JamesMonroe-1",1
"JamesMonroe-1",1
"JamesMonroe-1",1
"JamesMonroe-1",2
"JamesMonroe-1",2
